State,AcLevNum,ACTIVITY_LEVEL_LABEL,WEEKEND,WEEK
Georgia,7,Moderate,Dec-16-2017,50
Georgia,10,High,Dec-23-2017,51
Georgia,10,High,Dec-30-2017,52
Hawaii,5,Low,Jan-06-2018,1
Hawaii,8,High,Jan-13-2018,2
Hawaii,7,Moderate,Jan-20-2018,3
Hawaii,8,High,Jan-27-2018,4
Hawaii,6,Moderate,Feb-03-2018,5
Hawaii,6,Moderate,Feb-10-2018,6
Hawaii,6,Moderate,Feb-17-2018,7
Hawaii,4,Low,Feb-24-2018,8
Hawaii,4,Low,Mar-03-2018,9
Hawaii,7,Moderate,Mar-10-2018,10
Hawaii,5,Low,Mar-17-2018,11
Hawaii,3,Minimal,Mar-24-2018,12
Hawaii,3,Minimal,Mar-31-2018,13
Hawaii,4,Low,Apr-07-2018,14
Hawaii,2,Minimal,Apr-14-2018,15
Hawaii,2,Minimal,Apr-21-2018,16
Hawaii,3,Minimal,Apr-28-2018,17
Hawaii,1,Minimal,Oct-07-2017,40
Hawaii,1,Minimal,Oct-14-2017,41
Hawaii,1,Minimal,Oct-21-2017,42
Hawaii,1,Minimal,Oct-28-2017,43
Hawaii,2,Minimal,Nov-04-2017,44
Hawaii,3,Minimal,Nov-11-2017,45
Hawaii,3,Minimal,Nov-18-2017,46
Hawaii,3,Minimal,Nov-25-2017,47
Hawaii,5,Low,Dec-02-2017,48
Hawaii,5,Low,Dec-09-2017,49
Hawaii,3,Minimal,Dec-16-2017,50
Hawaii,6,Moderate,Dec-23-2017,51
Hawaii,7,Moderate,Dec-30-2017,52
Idaho,5,Low,Jan-06-2018,1
Idaho,7,Moderate,Jan-13-2018,2
Idaho,6,Moderate,Jan-20-2018,3
Idaho,5,Low,Jan-27-2018,4
Idaho,6,Moderate,Feb-03-2018,5
Idaho,5,Low,Feb-10-2018,6
Idaho,4,Low,Feb-17-2018,7
Idaho,5,Low,Feb-24-2018,8
Idaho,2,Minimal,Mar-03-2018,9
Idaho,1,Minimal,Mar-10-2018,10
Idaho,1,Minimal,Mar-17-2018,11
Idaho,2,Minimal,Mar-24-2018,12
Idaho,1,Minimal,Mar-31-2018,13
Idaho,1,Minimal,Apr-07-2018,14
Idaho,1,Minimal,Apr-14-2018,15
Idaho,1,Minimal,Apr-21-2018,16
Idaho,1,Minimal,Apr-28-2018,17
Idaho,1,Minimal,Oct-07-2017,40
Idaho,1,Minimal,Oct-14-2017,41
Idaho,1,Minimal,Oct-21-2017,42
Idaho,1,Minimal,Oct-28-2017,43
Idaho,1,Minimal,Nov-04-2017,44
Idaho,1,Minimal,Nov-11-2017,45
Idaho,1,Minimal,Nov-18-2017,46
Idaho,1,Minimal,Nov-25-2017,47
Idaho,2,Minimal,Dec-02-2017,48
Idaho,1,Minimal,Dec-09-2017,49
Idaho,1,Minimal,Dec-16-2017,50
Idaho,3,Minimal,Dec-23-2017,51
Idaho,1,Minimal,Dec-30-2017,52
Illinois,10,High,Jan-06-2018,1
Illinois,10,High,Jan-13-2018,2
Illinois,10,High,Jan-20-2018,3
Illinois,10,High,Jan-27-2018,4
Illinois,10,High,Feb-03-2018,5
Illinois,10,High,Feb-10-2018,6
Illinois,10,High,Feb-17-2018,7
Illinois,9,High,Feb-24-2018,8
Illinois,5,Low,Mar-03-2018,9
Illinois,4,Low,Mar-10-2018,10
Illinois,4,Low,Mar-17-2018,11
Illinois,4,Low,Mar-24-2018,12
Illinois,3,Minimal,Mar-31-2018,13
Illinois,2,Minimal,Apr-07-2018,14
Illinois,1,Minimal,Apr-14-2018,15
Illinois,1,Minimal,Apr-21-2018,16
Illinois,1,Minimal,Apr-28-2018,17
Illinois,1,Minimal,Oct-07-2017,40
Illinois,1,Minimal,Oct-14-2017,41
Illinois,1,Minimal,Oct-21-2017,42
Illinois,1,Minimal,Oct-28-2017,43
Illinois,1,Minimal,Nov-04-2017,44
Illinois,1,Minimal,Nov-11-2017,45
Illinois,1,Minimal,Nov-18-2017,46
Illinois,1,Minimal,Nov-25-2017,47
Illinois,3,Minimal,Dec-02-2017,48
Illinois,3,Minimal,Dec-09-2017,49
Illinois,6,Moderate,Dec-16-2017,50
Illinois,10,High,Dec-23-2017,51
Illinois,10,High,Dec-30-2017,52
Indiana,10,High,Jan-06-2018,1
Indiana,10,High,Jan-13-2018,2
Indiana,10,High,Jan-20-2018,3
Indiana,10,High,Jan-27-2018,4
Indiana,10,High,Feb-03-2018,5
Indiana,10,High,Feb-10-2018,6
Indiana,10,High,Feb-17-2018,7
Indiana,8,High,Feb-24-2018,8
Indiana,9,High,Mar-03-2018,9
Indiana,6,Moderate,Mar-10-2018,10
Indiana,4,Low,Mar-17-2018,11
Indiana,7,Moderate,Mar-24-2018,12
Indiana,5,Low,Mar-31-2018,13
Indiana,4,Low,Apr-07-2018,14
Indiana,4,Low,Apr-14-2018,15
Indiana,3,Minimal,Apr-21-2018,16
Indiana,1,Minimal,Apr-28-2018,17
Indiana,1,Minimal,Oct-07-2017,40
Indiana,1,Minimal,Oct-14-2017,41
Indiana,1,Minimal,Oct-21-2017,42
Indiana,1,Minimal,Oct-28-2017,43
Indiana,2,Minimal,Nov-04-2017,44
Indiana,1,Minimal,Nov-11-2017,45
Indiana,1,Minimal,Nov-18-2017,46
Indiana,1,Minimal,Nov-25-2017,47
Indiana,3,Minimal,Dec-02-2017,48
Indiana,4,Low,Dec-09-2017,49
Indiana,3,Minimal,Dec-16-2017,50
Indiana,9,High,Dec-23-2017,51
Indiana,10,High,Dec-30-2017,52
Iowa,3,Minimal,Jan-06-2018,1
Iowa,4,Low,Jan-13-2018,2
Iowa,6,Moderate,Jan-20-2018,3
Iowa,9,High,Jan-27-2018,4
Iowa,8,High,Feb-03-2018,5
Iowa,8,High,Feb-10-2018,6
Iowa,5,Low,Feb-17-2018,7
Iowa,4,Low,Feb-24-2018,8
Iowa,2,Minimal,Mar-03-2018,9
Iowa,3,Minimal,Mar-10-2018,10
Iowa,3,Minimal,Mar-17-2018,11
Iowa,1,Minimal,Mar-24-2018,12
Iowa,2,Minimal,Mar-31-2018,13
Iowa,1,Minimal,Apr-07-2018,14
Iowa,1,Minimal,Apr-14-2018,15
Iowa,1,Minimal,Apr-21-2018,16
Iowa,1,Minimal,Apr-28-2018,17
Iowa,1,Minimal,Oct-07-2017,40
Iowa,1,Minimal,Oct-14-2017,41
Iowa,1,Minimal,Oct-21-2017,42
Iowa,1,Minimal,Oct-28-2017,43
Iowa,1,Minimal,Nov-04-2017,44
Iowa,1,Minimal,Nov-11-2017,45
Iowa,1,Minimal,Nov-18-2017,46
Iowa,1,Minimal,Nov-25-2017,47
Iowa,1,Minimal,Dec-02-2017,48
Iowa,1,Minimal,Dec-09-2017,49
Iowa,1,Minimal,Dec-16-2017,50
Iowa,2,Minimal,Dec-23-2017,51
Iowa,7,Moderate,Dec-30-2017,52
Kansas,10,High,Jan-06-2018,1
Kansas,10,High,Jan-13-2018,2
Kansas,10,High,Jan-20-2018,3
Kansas,10,High,Jan-27-2018,4
Kansas,10,High,Feb-03-2018,5
Kansas,10,High,Feb-10-2018,6
Kansas,10,High,Feb-17-2018,7
Kansas,10,High,Feb-24-2018,8
Kansas,10,High,Mar-03-2018,9
Kansas,10,High,Mar-10-2018,10
Kansas,6,Moderate,Mar-17-2018,11
Kansas,6,Moderate,Mar-24-2018,12
Kansas,4,Low,Mar-31-2018,13
Kansas,2,Minimal,Apr-07-2018,14
Kansas,2,Minimal,Apr-14-2018,15
Kansas,1,Minimal,Apr-21-2018,16
Kansas,1,Minimal,Apr-28-2018,17
Kansas,1,Minimal,Oct-07-2017,40
Kansas,1,Minimal,Oct-14-2017,41
Kansas,1,Minimal,Oct-21-2017,42
Kansas,1,Minimal,Oct-28-2017,43
Kansas,1,Minimal,Nov-04-2017,44
Kansas,1,Minimal,Nov-11-2017,45
Kansas,1,Minimal,Nov-18-2017,46
Kansas,2,Minimal,Nov-25-2017,47
Kansas,1,Minimal,Dec-02-2017,48
Kansas,3,Minimal,Dec-09-2017,49
Kansas,7,Moderate,Dec-16-2017,50
Kansas,10,High,Dec-23-2017,51
Kansas,10,High,Dec-30-2017,52
Kentucky,10,High,Jan-06-2018,1
Kentucky,10,High,Jan-13-2018,2
Kentucky,10,High,Jan-20-2018,3
Kentucky,10,High,Jan-27-2018,4
Kentucky,10,High,Feb-03-2018,5
Kentucky,10,High,Feb-10-2018,6
Kentucky,10,High,Feb-17-2018,7
Kentucky,10,High,Feb-24-2018,8
Kentucky,10,High,Mar-03-2018,9
Kentucky,10,High,Mar-10-2018,10
Kentucky,6,Moderate,Mar-17-2018,11
Kentucky,7,Moderate,Mar-24-2018,12
Kentucky,7,Moderate,Mar-31-2018,13
Kentucky,5,Low,Apr-07-2018,14
Kentucky,4,Low,Apr-14-2018,15
Kentucky,3,Minimal,Apr-21-2018,16
Kentucky,2,Minimal,Apr-28-2018,17
Kentucky,1,Minimal,Oct-07-2017,40
Kentucky,1,Minimal,Oct-14-2017,41
Kentucky,1,Minimal,Oct-21-2017,42
Kentucky,1,Minimal,Oct-28-2017,43
Kentucky,1,Minimal,Nov-04-2017,44
Kentucky,1,Minimal,Nov-11-2017,45
Kentucky,3,Minimal,Nov-18-2017,46
Kentucky,2,Minimal,Nov-25-2017,47
Kentucky,3,Minimal,Dec-02-2017,48
Kentucky,6,Moderate,Dec-09-2017,49
Kentucky,10,High,Dec-16-2017,50
Kentucky,10,High,Dec-23-2017,51
Kentucky,10,High,Dec-30-2017,52
Louisiana,10,High,Jan-06-2018,1
Louisiana,10,High,Jan-13-2018,2
Louisiana,10,High,Jan-20-2018,3
Louisiana,10,High,Jan-27-2018,4
Louisiana,10,High,Feb-03-2018,5
Louisiana,10,High,Feb-10-2018,6
Louisiana,10,High,Feb-17-2018,7
Louisiana,9,High,Feb-24-2018,8
Louisiana,6,Moderate,Mar-03-2018,9
Louisiana,5,Low,Mar-10-2018,10
Louisiana,4,Low,Mar-17-2018,11
Louisiana,3,Minimal,Mar-24-2018,12
Louisiana,3,Minimal,Mar-31-2018,13
Louisiana,2,Minimal,Apr-07-2018,14
Louisiana,2,Minimal,Apr-14-2018,15
Louisiana,2,Minimal,Apr-21-2018,16
Louisiana,2,Minimal,Apr-28-2018,17
Louisiana,3,Minimal,Oct-07-2017,40
Louisiana,3,Minimal,Oct-14-2017,41
Louisiana,4,Low,Oct-21-2017,42
Louisiana,5,Low,Oct-28-2017,43
Louisiana,7,Moderate,Nov-04-2017,44
Louisiana,7,Moderate,Nov-11-2017,45
Louisiana,8,High,Nov-18-2017,46
Louisiana,10,High,Nov-25-2017,47
Louisiana,10,High,Dec-02-2017,48
Louisiana,10,High,Dec-09-2017,49
Louisiana,10,High,Dec-16-2017,50
Louisiana,10,High,Dec-23-2017,51
Louisiana,10,High,Dec-30-2017,52
Maine,1,Minimal,Jan-06-2018,1
Maine,1,Minimal,Jan-13-2018,2
Maine,1,Minimal,Jan-20-2018,3
Maine,1,Minimal,Jan-27-2018,4
Maine,1,Minimal,Feb-03-2018,5
Maine,2,Minimal,Feb-10-2018,6
Maine,2,Minimal,Feb-17-2018,7
Maine,2,Minimal,Feb-24-2018,8
Maine,1,Minimal,Mar-03-2018,9
Maine,1,Minimal,Mar-10-2018,10
Maine,1,Minimal,Mar-17-2018,11
Maine,1,Minimal,Mar-24-2018,12
Maine,1,Minimal,Mar-31-2018,13
Maine,1,Minimal,Apr-07-2018,14
Maine,1,Minimal,Apr-14-2018,15
Maine,1,Minimal,Apr-21-2018,16
Maine,1,Minimal,Apr-28-2018,17
Maine,1,Minimal,Oct-07-2017,40
Maine,1,Minimal,Oct-14-2017,41
Maine,1,Minimal,Oct-21-2017,42
Maine,1,Minimal,Oct-28-2017,43
Maine,1,Minimal,Nov-04-2017,44
Maine,1,Minimal,Nov-11-2017,45
Maine,1,Minimal,Nov-18-2017,46
Maine,1,Minimal,Nov-25-2017,47
Maine,1,Minimal,Dec-02-2017,48
Maine,1,Minimal,Dec-09-2017,49
Maine,1,Minimal,Dec-16-2017,50
Maine,1,Minimal,Dec-23-2017,51
Maine,1,Minimal,Dec-30-2017,52
Maryland,5,Low,Jan-06-2018,1
Maryland,6,Moderate,Jan-13-2018,2
Maryland,10,High,Jan-20-2018,3
Maryland,10,High,Jan-27-2018,4
Maryland,10,High,Feb-03-2018,5
Maryland,10,High,Feb-10-2018,6
Maryland,9,High,Feb-17-2018,7
Maryland,8,High,Feb-24-2018,8
Maryland,5,Low,Mar-03-2018,9
Maryland,3,Minimal,Mar-10-2018,10
Maryland,1,Minimal,Mar-17-2018,11
Maryland,1,Minimal,Mar-24-2018,12
Maryland,1,Minimal,Mar-31-2018,13
Maryland,1,Minimal,Apr-07-2018,14
Maryland,1,Minimal,Apr-14-2018,15
Maryland,1,Minimal,Apr-21-2018,16
Maryland,1,Minimal,Apr-28-2018,17
Maryland,1,Minimal,Oct-07-2017,40
Maryland,1,Minimal,Oct-14-2017,41
Maryland,1,Minimal,Oct-21-2017,42
Maryland,1,Minimal,Oct-28-2017,43
Maryland,1,Minimal,Nov-04-2017,44
Maryland,1,Minimal,Nov-11-2017,45
Maryland,1,Minimal,Nov-18-2017,46
Maryland,1,Minimal,Nov-25-2017,47
Maryland,1,Minimal,Dec-02-2017,48
Maryland,1,Minimal,Dec-09-2017,49
Maryland,1,Minimal,Dec-16-2017,50
Maryland,2,Minimal,Dec-23-2017,51
Maryland,7,Moderate,Dec-30-2017,52
